model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,game_condition,role,eta,gamma,beta_ct,beta
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_6,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.5,,0.525,0.525
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_6,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,1.0,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_7,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.015,0.015
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_7,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.126,0.126
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_8,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.7,,0.46,0.46
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_8,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,0.8018,0.585,0.585
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_9,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.095,0.095
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_9,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_1,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.127,0.127
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_1,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.13,0.13
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_10,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.4,,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_10,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,1.0,0.4,0.4
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_11,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.0,0.0
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_11,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.15,0.15
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_12,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.6,,0.47,0.47
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_12,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.4082,0.495,0.495
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_13,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.132,0.132
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260518_082321_13,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.118,0.118
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_14,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.5,,0.49,0.49
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260518_082321_14,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,-0.2182,0.545,0.545
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260518_082321_15,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.082,0.082
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_15,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.075,0.075
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260518_082321_16,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.4,,0.495,0.495
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_16,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,-0.4082,0.5,0.5
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_17,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.19,0.19
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260518_082321_17,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.165,0.165
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_18,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.6,,0.435,0.435
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260518_082321_18,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,-0.25,0.535,0.535
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260518_082321_19,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.235,0.235
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_19,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.195,0.195
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_2,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.9,,0.305,0.305
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_2,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,1.0,0.35,0.35
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260518_082321_20,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,sender,1.0,,0.385,0.385
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_20,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,,0.52,0.52
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_21,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.015,0.015
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260518_082321_21,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.25,0.25
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_22,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.7,,0.334,0.334
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260518_082321_22,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,1.0,0.495,0.495
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260518_082321_23,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.17,0.17
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_23,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260518_082321_24,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,1.0,,0.15,0.15
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_24,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,,1.0,1.0
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_25,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.143,0.143
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_25,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.151,0.151
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_26,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.4,,0.53,0.53
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_26,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.25,0.46,0.46
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_27,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.103,0.103
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_27,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.029,0.029
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_28,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.4,,0.75,0.75
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_28,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.5833,0.48,0.48
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_29,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.075,0.075
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_29,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.044,0.044
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_3,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.044,0.044
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_3,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.128,0.128
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_30,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.6,,0.395,0.395
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_30,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,0.25,0.59,0.59
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_31,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.123,0.123
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260518_082321_31,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.105,0.105
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_32,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.8,,0.537,0.537
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260518_082321_32,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,0.5,0.785,0.785
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_33,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.19,0.19
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260518_082321_33,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.13,0.13
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_34,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.8,,0.525,0.525
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260518_082321_34,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,-0.1021,0.665,0.665
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_35,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.065,0.065
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260518_082321_35,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.115,0.115
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_36,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.6,,0.47,0.47
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260518_082321_36,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,0.3563,0.45,0.45
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_4,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.6,,0.52,0.52
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_4,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,0.25,0.538,0.538
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_5,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.131,0.131
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_5,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_6,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.6,,0.455,0.455
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_6,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,1.0,0.6,0.6
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_7,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.015,0.015
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_7,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.118,0.118
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_8,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.5,,0.54,0.54
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_082321_8,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,0.0,0.535,0.535
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_082321_9,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.145,0.145
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_082321_9,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_1,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.13,0.13
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_1,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.175,0.175
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_10,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.5,,0.515,0.515
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_10,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,1.0,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_11,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.0,0.0
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_11,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.175,0.175
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_12,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.2,,0.633,0.633
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_12,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.7638,0.33,0.33
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_13,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.136,0.136
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260518_092045_13,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.139,0.139
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_14,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.6,,0.55,0.55
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260518_092045_14,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,0.8165,0.56,0.56
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260518_092045_15,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.095,0.095
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_15,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.113,0.113
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260518_092045_16,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.2,,0.435,0.435
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_16,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,-0.4082,0.377,0.377
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_17,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.05,0.05
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260518_092045_17,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.0,0.0
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_18,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.7,,0.41,0.41
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260518_092045_18,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,0.0476,0.45,0.45
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260518_092045_19,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.305,0.305
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_19,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.108,0.108
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_2,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.6,,0.455,0.455
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_2,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.8018,0.575,0.575
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260518_092045_20,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,sender,1.0,,0.595,0.595
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_20,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,,0.48,0.48
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_21,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.0,0.0
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260518_092045_21,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.075,0.075
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_22,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.5,,0.47,0.47
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260518_092045_22,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,1.0,0.51,0.51
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260518_092045_23,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_23,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260518_092045_24,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,1.0,,0.15,0.15
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_24,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,,1.0,1.0
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_25,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.138,0.138
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_25,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.164,0.164
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_26,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.5,,0.45,0.45
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_26,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,0.4082,0.47,0.47
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_27,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.073,0.073
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_27,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.006,0.006
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_28,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.9,,0.21,0.21
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_28,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,1.0,0.65,0.65
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_29,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.075,0.075
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_29,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.025,0.025
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_3,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.145,0.145
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_3,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.1,0.1
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_30,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.5,,0.63,0.63
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_30,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,0.4082,0.31,0.31
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_31,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.138,0.138
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260518_092045_31,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.105,0.105
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_32,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.3,,0.44,0.44
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260518_092045_32,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,0.0891,0.415,0.415
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_33,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.155,0.155
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260518_092045_33,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.125,0.125
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_34,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.6,,0.54,0.54
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260518_092045_34,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,-0.1667,0.75,0.75
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_35,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.05,0.05
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260518_092045_35,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.125,0.125
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260518_092045_36,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.6,,0.642,0.642
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260518_092045_36,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,0.8165,0.482,0.482
GPT-4o,ct_cheap_talk_results_undisclosed_20260518_092045_4,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.3,,0.54,0.54
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_4,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,-0.0891,0.515,0.515
Claude Opus,ct_cheap_talk_results_undisclosed_20260518_092045_5,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.1,0.1
