model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,role,eta_pooled,eta_aligned,eta_misaligned,delta_eta,gamma_mis,beta_ct
Claude Sonnet,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_16,human_vs_human_silent,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,sender,0.2667,1.0,0.2667,0.7333,,0.63
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_16,human_vs_human_silent,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,receiver,0.2667,,,,-0.8528,0.4
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_17,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,1.0,0.5667,0.4333,,0.0733
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_17,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,-0.5299,0.322
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_18,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,0.2667,1.0,0.5667,0.4333,,0.7367
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_18,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,0.2667,,,,-0.5299,0.3
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_19,human_vs_human_silent,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.15
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_19,human_vs_human_silent,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,0.1167
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_2,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,0.4,1.0,0.3667,0.6333,,0.7013
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_2,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,0.4,,,,-0.4286,0.42
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_20,human_vs_human_silent,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.4367
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_20,human_vs_human_silent,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,0.3867
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_21,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,1.0,0.7,0.3,,0.014
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_21,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,0.4395,0.2833
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_22,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.5333,1.0,0.7,0.3,,0.5467
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_22,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.5333,,,,0.4395,0.6333
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_23,human_vs_human_silent,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.05
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_23,human_vs_human_silent,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,0.0
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_24,human_vs_human_silent,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_24,human_vs_human_silent,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,1.0
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_25,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.3667,0.6333,,0.1047
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_25,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,-0.4286,0.11
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_26,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,0.3333,1.0,0.3667,0.6333,,0.55
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_26,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,0.3333,,,,-0.4286,0.4633
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_27,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.5666,0.4334,,0.038
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_27,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,0.6636,0.0207
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_28,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.5333,1.0,0.5666,0.4334,,0.37
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_28,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.5333,,,,0.6636,0.4333
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_29,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.0467
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_29,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,-0.5431,0.0667
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_3,human_vs_human_silent,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.4,0.6,,0.0587
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_3,human_vs_human_silent,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,-0.1111,0.0807
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_30,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.6667,1.0,0.6,0.4,,0.3667
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_30,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.6667,,,,-0.5431,0.5667
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_31,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,0.4333,0.5667,,0.0733
Claude Sonnet,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_31,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,-0.3973,0.0653
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_32,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,0.5333,1.0,0.4333,0.5667,,0.4967
Claude Sonnet,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_32,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,0.5333,,,,-0.3973,0.5433
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_33,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,1.0,0.5667,0.4333,,0.0767
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_33,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,-0.5299,0.12
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_34,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,0.8667,1.0,0.5667,0.4333,,0.6067
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_34,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,0.8667,,,,-0.5299,0.6867
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_35,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,1.0,0.7,0.3,,0.1267
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_35,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,0.4395,0.06
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_36,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.8667,1.0,0.7,0.3,,0.3367
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_36,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.8667,,,,0.4395,0.51
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_4,human_vs_human_silent,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,sender,0.4,1.0,0.4,0.6,,0.51
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_4,human_vs_human_silent,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,receiver,0.4,,,,-0.1111,0.5047
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_5,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.5666,0.4334,,0.1067
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_5,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,0.6636,0.0
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_6,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.6,1.0,0.5666,0.4334,,0.472
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_6,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.6,,,,0.6636,0.5667
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_7,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.4,0.6,,0.05
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_7,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,-0.1111,0.0567
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_8,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,sender,0.4,1.0,0.4,0.6,,0.4767
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_8,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,receiver,0.4,,,,-0.1111,0.5067
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_9,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.0547
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_9,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,-0.5431,0.012
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_1,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.5667,0.4333,,0.0493
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_1,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,0.3334,0.12
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_10,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.4667,1.0,0.4667,0.5333,,0.4867
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_10,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.4667,,,,-0.0714,0.3973
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_11,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.0133
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_11,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,0.1667,0.1333
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_12,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,sender,0.6,1.0,0.6,0.4,,0.4433
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_12,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,receiver,0.6,,,,0.1667,0.5467
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_13,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,0.6333,0.3667,,0.0973
Claude Sonnet,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_13,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,0.1716,0.1047
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_14,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,0.6667,1.0,0.6333,0.3667,,0.4987
Claude Sonnet,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_14,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,0.6667,,,,0.1716,0.5767
Claude Sonnet,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_15,human_vs_human_silent,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.3333,0.6667,,0.0733
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_15,human_vs_human_silent,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,0.0,0.05
Claude Sonnet,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_16,human_vs_human_silent,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,sender,0.3333,1.0,0.3333,0.6667,,0.4867
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_16,human_vs_human_silent,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,receiver,0.3333,,,,0.0,0.34
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_17,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,1.0,0.7,0.3,,0.11
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_17,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,-0.3384,0.25
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_18,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,0.5333,1.0,0.7,0.3,,0.5067
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_18,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,0.5333,,,,-0.3384,0.5373
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_19,human_vs_human_silent,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.1667
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_19,human_vs_human_silent,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,0.14
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_2,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,0.6667,1.0,0.5667,0.4333,,0.5667
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_2,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,0.6667,,,,0.3334,0.5433
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_20,human_vs_human_silent,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.4667
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_20,human_vs_human_silent,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,0.4067
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_21,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,1.0,0.7,0.3,,0.0133
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_21,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,0.1115,0.2607
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_22,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.5333,1.0,0.7,0.3,,0.49
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_22,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.5333,,,,0.1115,0.5333
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_23,human_vs_human_silent,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.05
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_23,human_vs_human_silent,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,0.0133
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_24,human_vs_human_silent,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_24,human_vs_human_silent,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,0.9667
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_25,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.5667,0.4333,,0.082
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_25,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,0.3334,0.1073
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_26,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,0.4667,1.0,0.5667,0.4333,,0.4933
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_26,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,0.4667,,,,0.3334,0.4533
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_27,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.5666,0.4334,,0.0767
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_27,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,0.4727,0.0267
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_28,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.6,1.0,0.5666,0.4334,,0.5067
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_28,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.6,,,,0.4727,0.52
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_29,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.4667,0.5333,,0.0467
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_29,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,-0.0714,0.0387
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_3,human_vs_human_silent,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.7333,0.2667,,0.1
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_3,human_vs_human_silent,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,0.7385,0.0533
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_30,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.4667,1.0,0.4667,0.5333,,0.38
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_30,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.4667,,,,-0.0714,0.5533
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_31,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,0.6333,0.3667,,0.07
Claude Sonnet,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_31,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,0.1716,0.0793
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_32,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,0.6,1.0,0.6333,0.3667,,0.5133
Claude Sonnet,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_32,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,0.6,,,,0.1716,0.5767
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_33,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,1.0,0.7,0.3,,0.108
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_33,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,-0.3384,0.1167
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_34,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,0.8667,1.0,0.7,0.3,,0.6767
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_34,human_vs_human_silent,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,0.8667,,,,-0.3384,0.6133
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_35,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,1.0,0.7,0.3,,0.11
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_35,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,0.1115,0.108
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_36,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.8667,1.0,0.7,0.3,,0.6067
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_36,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.8667,,,,0.1115,0.78
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_4,human_vs_human_silent,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,sender,0.7333,1.0,0.7333,0.2667,,0.3333
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_4,human_vs_human_silent,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,receiver,0.7333,,,,0.7385,0.5433
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_5,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.5666,0.4334,,0.0487
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_5,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,0.4727,0.0
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_6,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.5333,1.0,0.5666,0.4334,,0.5267
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_6,human_vs_human_silent,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.5333,,,,0.4727,0.5333
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_142739_7,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.3333,0.6667,,0.0133
